dataset,cellLine,allele,projectPath
Abelin-A0101,B721.221,A0101,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A0101/outputFolder
Abelin-A0201,B721.221,A0201,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A0201/outputFolder
Abelin-A0203,B721.221,A0203,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A0203/outputFolder
Abelin-A0204,B721.221,A0204,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A0204/outputFolder
Abelin-A0207,B721.221,A0207,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A0207/outputFolder
Abelin-A0301,B721.221,A0301,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A0301/outputFolder
Abelin-A2402,B721.221,A2402,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A2402/outputFolder
Abelin-A2902,B721.221,A2902,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-HF-A2902/outputFolder
Abelin-A3101,B721.221,A3101,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A3101/outputFolder
Abelin-A6802,B721.221,A6802,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-A6802/outputFolder
Abelin-B3501,B721.221,B3501,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-HF-B3501/outputFolder
Abelin-B4402,B721.221,B4402,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-B4402/outputFolder
Abelin-B4403,B721.221,B4403,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-B4403/outputFolder
Abelin-B5101,B721.221,B5101,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-HF-B5101/outputFolder
Abelin-B5101,B721.221,B5101,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-B5101/outputFolder
Abelin-B5401,B721.221,B5401,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-HF-B5401/outputFolder
Abelin-B5401,B721.221,B5401,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-B5401/outputFolder
Abelin-B5701,B721.221,B5701,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-HF-B5701/outputFolder
Abelin-B5701,B721.221,B5701,/data/John/ALL_FINAL/projects/pisces_ip/Abelin-QE-B5701/outputFolder
K562_MMlab-A0101,K562,A0101,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-A0101/outputFolder
K562_MMlab-A0201,K562,A0201,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-A0201/outputFolder
K562_MMlab-A0201,K562,A0201,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Lumos-A0201/outputFolder
K562_MMlab-A0301,K562,A0301,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-A0301/outputFolder
K562_MMlab-A1101,K562,A1101,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-A1101/outputFolder
K562_MMlab-A3001,K562,A3001,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-A3001/outputFolder
K562_MMlab-A3101,K562,A3101,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-A3101/outputFolder
K562_MMlab-A6801,K562,A6801,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-A6801/outputFolder
K562_MMlab-B0702,K562,B0702,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Lumos-B0702/outputFolder
K562_MMlab-B0702,K562,B0702,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-B0702/outputFolder
K562_MMlab-B0801,K562,B0801,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-B0801/outputFolder
K562_MMlab-B1501,K562,B1501,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-B1501/outputFolder
K562_MMlab-B2705,K562,B2705,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-B2705/outputFolder
K562_MMlab-B4001,K562,B4001,/data/John/ALL_FINAL/projects/pisces_ip/K562_MMlab-Exploris-B4001/outputFolder
Sarkizova-A0202,B721.221,A0202,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A0202/outputFolder
Sarkizova-A0205,B721.221,A0205,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A0205/outputFolder
Sarkizova-A0206,B721.221,A0206,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A0206/outputFolder
Sarkizova-A0211,B721.221,A0211,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A0211/outputFolder
Sarkizova-A1101,B721.221,A1101,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A1101/outputFolder
Sarkizova-A2301,B721.221,A2301,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-A2301/outputFolder
Sarkizova-A2407,B721.221,A2407,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A2407/outputFolder
Sarkizova-A2501,B721.221,A2501,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A2501/outputFolder
Sarkizova-A2601,B721.221,A2601,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A2601/outputFolder
Sarkizova-A3001,B721.221,A3001,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-A3001/outputFolder
Sarkizova-A3002,B721.221,A3002,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-A3002/outputFolder
Sarkizova-A3201,B721.221,A3201,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A3201/outputFolder
Sarkizova-A3301,B721.221,A3301,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A3301/outputFolder
Sarkizova-A3303,B721.221,A3303,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-A3303/outputFolder
Sarkizova-A3401,B721.221,A3401,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-A3401/outputFolder
Sarkizova-A3402,B721.221,A3402,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A3402/outputFolder
Sarkizova-A3601,B721.221,A3601,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A3601/outputFolder
Sarkizova-A6601,B721.221,A6601,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A6601/outputFolder
Sarkizova-A6801,B721.221,A6801,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-Lumos-A6801/outputFolder
Sarkizova-A7401,B721.221,A7401,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-A7401/outputFolder
Sarkizova-B0702,B721.221,B0702,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B0702/outputFolder
Sarkizova-B0704,B721.221,B0704,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B0704/outputFolder
Sarkizova-B0801,B721.221,B0801,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B0801/outputFolder
Sarkizova-B1301,B721.221,B1301,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B1301/outputFolder
Sarkizova-B1302,B721.221,B1302,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B1302/outputFolder
Sarkizova-B1402,B721.221,B1402,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B1402/outputFolder
Sarkizova-B1501,B721.221,B1501,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B1501/outputFolder
Sarkizova-B1502,B721.221,B1502,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B1502/outputFolder
Sarkizova-B1503,B721.221,B1503,/data/John/ALL_FINAL/projects/pisces_ip/Sarkizova-QEplus-B1503/outputFolder
