pca1,pca2,kmeans_res,allele,cisFreq,crypFreq
13.189254,8.351231,4,Sarkizova-C0403,3.167125283373018,0.8930412085125872
10.642533,4.858353,3,Abelin-B3501,0.43784851576962885,0.894277583011844
10.59805,6.542664,1,Abelin-A0101,1.1947206118252969,0.917358834623921
13.77312,14.290807,2,Abelin-B4403,0.9645912969486611,0.9181891742889126
10.845223,4.4865413,3,Abelin-B5101,1.8943045591873813,1.2032331652180899
13.078456,8.309338,4,Sarkizova-C0501,1.2078054152437836,1.2381394700052297
10.8142185,10.984404,5,Abelin-A0204,1.3636411926060805,1.314835504427735
11.745049,7.5704374,1,Sarkizova-C0202,1.481259588984045,1.3230959816876882
10.293197,6.6511183,1,Sarkizova-A3601,2.322647528855432,1.3390342424076678
10.795959,10.135299,5,Sarkizova-A0206,0.8747470597994742,1.339430962308043
13.4979925,14.135206,2,Sarkizova-B4001,1.5863657616091198,1.3696531000755678
10.543478,9.858553,5,Abelin-A6802,6.677046948946236,1.3912288305169007
13.506801,14.640851,2,Sarkizova-B4002,1.0807871689433963,1.393577656044632
13.170628,8.042482,4,Sarkizova-C0401,4.47888406982232,1.4490759539701454
13.364061,14.617978,2,Sarkizova-B4901,2.650026311282271,1.5140611468666805
13.612221,14.321325,2,Sarkizova-B1801,2.5315185475420563,1.5641062019804388
10.812697,10.701626,5,K562_MMlab-A0201,3.1106785516100444,1.572305983374318
13.866549,14.548742,2,Abelin-B4402,1.3958961005942256,1.6161520921768586
10.428439,6.641323,1,K562_MMlab-A0101,2.4248012375955206,1.6185401522248637
10.948833,10.008431,5,Sarkizova-B1302,1.7695694741861059,1.6638509634419718
10.873152,10.208505,5,Sarkizova-A0205,1.356507141108855,1.709093003727392
13.555606,14.353239,2,K562_MMlab-B4001,2.7355607804254567,1.829893513579047
13.142636,8.37382,4,Sarkizova-C0802,2.4097884942000216,1.86300408861706
10.772545,10.883104,5,Sarkizova-A0202,1.6175883659293142,1.9102401475101214
11.182142,10.328742,5,Sarkizova-B1301,1.0736034289878615,1.9545125143365565
11.0183935,7.348494,1,K562_MMlab-B1501,0.9503738565084122,2.08424148784674
10.690388,7.0253673,1,Sarkizova-A3002,0.8856635338918137,2.101288784445961
10.848524,9.587543,5,Sarkizova-B5201,3.8817526172272743,2.118936043868934
12.381241,8.982445,4,Sarkizova-C0704,3.673234476871829,2.145960066475809
11.934604,9.38458,5,Sarkizova-C0602,2.6616991517911726,2.18719977378165
10.840297,10.920015,5,Abelin-A0203,2.9035822537425635,2.1941877509586267
13.601963,14.765974,2,Sarkizova-B3701,10.48856746608156,2.2033497464538305
11.204075,9.094405,5,Sarkizova-C1502,2.417876742268124,2.2120027008865364
10.666079,10.751193,5,Abelin-A0207,2.4950719173332643,2.2351585681586603
11.0938015,6.965642,1,Sarkizova-B1501,1.380097870621545,2.2528473753199543
10.543856,6.8901553,1,Abelin-A2902,1.0368090023327963,2.323219946104122
10.49441,7.4639387,1,Sarkizova-A2601,5.425532089206166,2.3268673197141383
10.915535,11.053303,5,Abelin-A0201,2.5329430168038347,2.436498746401677
10.343735,4.680291,3,Sarkizova-B3507,1.114392114784153,2.536886263769252
10.899816,6.9562607,1,Sarkizova-B1502,1.8344689868647621,2.6404789694717654
11.693574,10.173099,5,K562_MMlab-B0801,1.5729946377286301,2.6716921002362213
12.769178,8.667517,4,Sarkizova-C1701,4.808306945411238,2.7051641783813127
12.532487,9.719202,5,Sarkizova-B3801,1.694912864580575,2.9090536737742827
10.662728,10.483635,5,Sarkizova-A0211,1.4185875940048074,2.9803690625982493
10.485389,7.611786,1,Sarkizova-A2501,1.9180245771415558,2.9914701418858782
10.888753,8.171632,1,Abelin-B5701,0.44170878943927566,3.0166866885535715
11.192753,7.0114594,1,Sarkizova-B1503,1.4753584145965633,3.0295769334014055
12.819571,7.5035005,4,Sarkizova-A2301,1.5643551239469184,3.030292785567553
11.471957,7.2898297,1,Sarkizova-B4601,3.7075609980014455,3.044412784712181
11.015032,8.383059,1,Sarkizova-B5703,0.9386247169440952,3.0867850189286363
12.298978,8.531371,4,Sarkizova-C0303,2.556334374275269,3.103647987842473
12.079435,9.442773,5,Sarkizova-C0702,2.079861465801552,3.1487949325125726
12.930497,7.352267,4,Sarkizova-A2407,1.1028186953796706,3.218082684937645
11.896683,9.264967,5,Sarkizova-C0701,5.08658683535063,3.2511962483883003
10.751634,4.3010077,3,Sarkizova-B3503,2.23091239771317,3.2647458201038666
12.846917,7.3570766,4,Abelin-A2402,1.291620982956263,3.2726207767958284
12.75688,9.463783,4,Sarkizova-B3802,1.5768480106501628,3.306323806174424
13.090576,7.2465873,4,Sarkizova-C1402,2.355722307643253,3.3185154294856565
12.19549,8.053332,4,Sarkizova-C0302,2.3543195260553635,3.3632397198780883
11.863024,7.4638176,1,Sarkizova-C1202,3.81220043388595,3.47558926991828
11.425579,8.670875,4,Sarkizova-B1517,2.9583972410857267,3.6085431564659203
12.049648,8.060228,4,Sarkizova-C1203,4.21701123612689,3.7459316645296044
12.610225,8.545521,4,Sarkizova-C0801,3.5507229904997186,3.8711724624184547
10.194057,4.0145845,3,Abelin-B5401,3.9455920027856064,3.9552655879099654
11.987448,9.8174715,5,Sarkizova-B1402,3.903406079414589,3.9809429770900144
12.642679,8.586497,4,Sarkizova-C0304,3.5661193759157457,4.03420126090524
11.409463,10.551354,5,Sarkizova-B0801,1.9214593432096845,4.212458647896777
10.629359,4.1719904,3,Sarkizova-B4201,1.7289598885080961,4.28324331423263
11.174514,8.485648,1,Sarkizova-B5802,3.479483112801778,4.398433530340984
10.649348,4.737244,3,Sarkizova-B5301,2.150020737713512,4.596763414293305
10.628571,4.326933,3,K562_MMlab-B0702,3.350619094460419,4.920451646135453
13.086405,14.496211,2,Sarkizova-B4006,6.961099801117126,4.937756290885813
12.659555,9.486322,4,Sarkizova-B1510,3.899833510956901,5.086865734852001
12.036891,7.961521,4,Sarkizova-C1601,6.220995739623882,5.187352708262229
11.050018,8.163864,1,Sarkizova-B5801,2.129622936912286,5.3125755766186
13.075833,7.535025,4,Sarkizova-C1403,2.8913387580907384,5.331770939612708
13.123359,14.578508,2,Sarkizova-B5001,6.4016970377041655,5.4726040869632655
12.380475,8.807119,4,Sarkizova-C0102,3.628425570500475,6.044591725087626
9.89163,8.150607,1,K562_MMlab-A3001,1.5113957617839164,6.048935039447002
13.193834,14.549441,2,Sarkizova-B4501,5.275984049166826,6.062010887294696
8.532661,7.7343864,0,K562_MMlab-A6801,1.7084268327132999,6.118258271766889
10.631109,4.179225,3,Sarkizova-B0704,2.6952558874568235,6.124203910655908
11.809588,9.562679,5,K562_MMlab-B2705,2.881004509913354,6.172193843955665
10.757187,4.065006,3,Sarkizova-B0702,1.967389077119708,6.205829434028221
11.691975,9.394408,5,Sarkizova-B2705,2.645377145334499,6.887800795737055
8.325891,7.843697,0,Sarkizova-A3301,2.807511975832417,7.155050161517723
8.120229,7.7332973,0,Abelin-A3101,1.9158390177519882,7.37585692317821
8.255574,8.147904,0,Sarkizova-A6801,2.3558040350736014,7.527815048947178
10.754805,8.021686,1,Sarkizova-A3201,1.2936737030626286,7.942142953790349
8.994859,7.9564323,0,K562_MMlab-A1101,1.771472499083769,8.553451441380101
9.223562,7.930064,0,K562_MMlab-A0301,1.9274488598979325,8.855168719955287
9.600625,7.8681407,0,Sarkizova-A3001,1.9259435227207042,8.97088397809931
8.245079,7.995356,0,Sarkizova-A3303,3.2019045195270763,9.020159542573012
7.8354907,8.05626,0,Sarkizova-A6601,5.354716906840378,9.071771430371808
9.125143,7.764071,0,Sarkizova-A1101,2.923936270637046,9.395276061600706
10.240158,4.0904956,3,Sarkizova-B5502,3.8560580406304616,9.50383052588913
9.022431,7.9274383,0,Sarkizova-A3402,3.930724411851816,9.61480915415694
8.105207,8.117479,0,Sarkizova-A3401,5.703863712820195,9.7963165947401
8.074479,7.6275873,0,K562_MMlab-A3101,1.656828933372669,10.045141587081353
10.11927,4.016586,3,Sarkizova-B5601,5.456256076619246,10.684870113375744
10.313896,3.9742696,3,Sarkizova-B5501,5.779063769871817,11.462243946599894
9.381024,7.57973,0,Abelin-A0301,3.057771033839337,12.834885370688042
8.027733,7.6626215,0,Sarkizova-A7401,2.4854039254948765,16.050707501269752
