aa,P8,P7,P6,P5,P4,P3,P2,P1,P-1,P-2,P-3,P-4,P-5,P-6,P-7,P-8
A,427,420,361,364,422,363,401,405,384,345,296,306,233,219,196,160
C,50,41,47,70,95,125,100,137,130,102,78,63,51,51,44,49
D,262,288,272,278,204,214,222,359,255,327,253,314,224,273,270,201
E,300,319,348,329,300,303,277,352,279,343,311,289,269,229,214,241
F,186,170,258,232,311,199,250,281,179,231,166,187,183,134,166,119
G,431,433,411,428,314,285,324,273,419,317,371,326,294,241,229,197
H,197,174,210,202,178,238,213,191,219,161,197,175,152,128,105,93
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,344,327,320,354,331,305,335,215,313,216,217,235,185,198,159,132
L,1071,951,1063,988,1140,1160,897,1290,644,898,637,560,565,446,429,391
M,111,69,75,64,89,91,120,142,88,78,83,88,58,63,34,47
N,203,210,196,210,178,171,233,186,215,179,222,165,167,119,133,80
P,194,250,239,269,295,200,65,46,202,189,226,179,192,174,144,155
Q,303,351,370,412,356,426,575,277,451,369,298,292,263,233,212,192
R,216,268,242,243,247,273,283,269,366,231,238,235,203,221,140,146
S,420,550,383,402,367,370,409,284,489,374,455,287,333,267,303,261
T,306,307,266,268,267,251,320,210,250,200,205,149,168,162,175,128
V,388,336,443,382,451,495,485,494,329,381,292,297,270,263,192,233
W,74,76,51,79,51,69,57,80,41,46,37,27,36,16,29,32
Y,183,185,203,197,175,233,205,280,175,210,177,172,135,169,106,124
X,105,46,13,0,0,0,0,0,343,574,1012,1425,1790,2165,2491,2790
