aa,P8,P7,P6,P5,P4,P3,P2,P1,P-1,P-2,P-3,P-4,P-5,P-6,P-7,P-8
A,1592,1527,1522,1385,1558,1461,1433,1550,1970,1567,1570,1541,1352,1419,1503,1566
C,40,48,29,41,49,71,60,81,105,99,88,116,93,104,146,114
D,1089,960,932,966,541,472,599,1392,719,882,941,934,932,1056,1053,1052
E,1352,1286,1321,1243,1240,1175,1417,1966,1273,1306,1316,1327,1245,1333,1365,1357
F,437,447,508,469,492,340,387,507,408,433,456,431,483,374,392,378
G,1608,1595,1671,1579,1429,775,1062,1010,1252,1540,1487,1429,1493,1513,1532,1383
H,445,362,323,377,372,343,446,422,307,295,369,366,312,370,398,355
I,858,847,818,764,1004,1029,842,1232,635,895,806,713,774,681,665,798
K,1514,1581,1547,1899,1684,1698,2067,1042,1740,1222,1546,1428,1610,1548,1476,1373
L,1102,1051,1236,1070,1166,1491,1091,1744,1210,1731,1491,1413,1474,1331,1369,1341
M,352,349,294,329,355,308,408,382,445,554,521,415,391,477,468,469
N,606,577,633,712,619,688,741,538,593,679,603,596,591,629,603,627
P,972,828,940,799,1036,938,112,51,655,580,592,900,784,765,699,730
Q,666,813,755,874,721,817,1009,674,750,557,713,720,747,699,679,651
R,913,1017,1059,1088,1006,1363,1255,1042,1167,939,888,949,915,867,904,814
S,989,1065,957,1002,966,923,1124,831,1226,1102,1012,1004,922,890,845,956
T,1127,1210,1058,1004,1087,1141,1281,923,1068,977,984,1085,1000,959,1025,1024
V,1194,1343,1235,1261,1569,1875,1558,1465,1325,1427,1298,1241,1490,1456,1365,1407
W,27,39,51,46,40,28,30,14,26,44,54,48,52,47,56,57
Y,377,0,0,0,0,0,0,0,264,270,300,332,272,334,272,286
X,5,320,376,357,331,329,343,399,127,166,230,277,333,413,450,527
